Batch ID,Job Order Number,Printing Date/Time,Printer Operator ID,Ink Type,Paper Type,No. of Sheets Used,No. of Cards Printed,No. of Half Cards,No. of Quarter Cards,Accepted Cards,Rejected Cards,Color Matching Data,Quality Control Result (Printing),Printing QC - Alignment,Printing QC - Color Accuracy,Printing QC - Material Integrity,Lamination Date/Time,Lamination Operator ID,Chip Type,Embedding Errors,Chip Serial Numbers,Quality Control Result (Embedding),Embedding QC - Chip Functionality,Embedding QC - Alignment,Network Data,Encryption Key,Laser Engraving Serial,ICCID,Personalization Operator ID,Quality Control Result (Personalization),Personalization QC - Data Accuracy,Personalization QC - Laser Engraving,Audit Trail Logs,PO_number
Batch_01,JO_00001,2022-01-01 ,Operator_39,Metallic Ink,Composite Materials,39,780,234,546,512,268,Match_Fair,Pass,Pass,Pass,Pass,2022-01-10 ,Operator_99,Type1,4,Chip_945971,Pass,Pass,Pass,GSM,Key_6889,Serial_1013,ICCID_289882,Operator_130,Pass,Pass,Pass,Log_58731,PO-0021
Batch_02,JO_00002,2022-01-01 ,Operator_29,Metallic Ink,PVC,35,945,422,,262,683,Match_Poor,Fail,Fail,Pass,Fail,2022-01-05 ,Operator_54,Type1,4,Chip_681753,Pass,Pass,Pass,GPRS,Key_4411,Serial_6644,ICCID_917299,Operator_125,Pass,Pass,Pass,Log_70126,PO-0022
Batch_03,JO_00003,2022-01-01 ,Operator_15,Offset Ink,PVC,35,700,176,524,513,187,Match_Poor,Pass,Pass,Pass,Pass,2022-01-10 ,Operator_72,Type2,0,Chip_752795,Pass,Pass,Pass,GSM,Key_1315,Serial_4967,ICCID_920322,Operator_112,Pass,Pass,Pass,Log_16878,PO-0023
Batch_04,JO_00004,2022-01-02 ,Operator_43,UV Ink,PET,29,812,811,1,696,116,Match_Fair,Pass,Pass,Pass,Pass,2022-01-05 ,Operator_96,Type1,1,Chip_658946,Pass,Pass,Pass,UMTS,Key_5339,Serial_8700,ICCID_470109,Operator_103,Pass,Pass,Pass,Log_12927,PO-0024
Batch_05,JO_00005,2022-01-02 ,Operator_8,Metallic Ink,PET,37,1406,642,764,910,496,Match_Fair,Pass,Pass,Pass,Pass,2022-01-05 ,Operator_58,Type2,2,Chip_831642,Pass,Pass,Pass,GSM,Key_5569,Serial_8102,ICCID_643166,Operator_117,Pass,Pass,Pass,Log_76534,PO-0025
Batch_06,JO_00006,2022-01-03 ,Operator_21,Offset Ink,PET,29,812,307,,653,159,Match_Fair,Pass,Pass,Pass,Pass,2022-01-08 ,Operator_97,Type3,3,Chip_452108,Pass,Pass,Pass,GPRS,Key_7323,Serial_8318,ICCID_726194,Operator_104,Pass,Pass,Pass,Log_76004,PO-0026
Batch_07,JO_00007,2022-01-03 ,Operator_39,UV Ink,Composite Mtrl,20,580,527,53,573,7,Match_Good,Pass,Pass,Pass,Pass,2022-01-06 ,Operator_66,Type1,3,Chip_175661,Pass,Pass,Pass,UMTS,Key_3227,Serial_3239,ICCID_477733,Operator_106,Pass,Pass,Pass,Log_84136,PO-0027
Batch_08,JO_00008,2022-01-04 ,Operator_19,Metallic Ink,PET,19,570,469,,267,303,Match_Good,Pass,Pass,Pass,Pass,2022-01-09 ,Operator_83,Type3,3,Chip_956752,Pass,Pass,Pass,GPRS,Key_3922,Serial_4712,ICCID_485093,Operator_148,Pass,Pass,Pass,Log_62713,PO-0028
Batch_09,JO_00009,2022-01-04 ,Operator_23,Metallic Ink,Composite Materials,32,640,495,145,388,252,Match_Fair,Pass,Pass,Pass,Pass,2022-01-07 ,Operator_83,Type3,2,Chip_474529,Pass,Pass,Pass,UMTS,Key_6437,Serial_9798,ICCID_633998,Operator_115,Pass,Pass,Pass,Log_28952,PO-0029
Batch_10,JO_00010,2022-01-05 ,Operator_11,Offset Ink,Composite Materials,46,1794,772,,964,830,Match_Poor,Fail,Fail,Fail,Pass,2022-01-07 ,Operator_60,Type1,3,Chip_280728,Pass,Pass,Pass,GSM,Key_1551,Serial_3418,ICCID_355421,Operator_132,Pass,Pass,Pass,Log_14500,PO-0030
